trial_order,variables,var_mapping,uid,trial_set,trial,core_program,variant,step,step_id,text1,text2,response_needed,expected_response,is_loop,loop_type,loop_type_switch,n_iterations,n_loop_lines,updated_var
5,"a,i",1=a;2=i,47,2,1006,3,WWFWWFWW,2,2,"while a <= 17:
   a -= 2
   a += 6",,1,"[6, 12, 10, 16, 14, 20]",1,while,,3,2,a
5,"a,i",1=a;2=i,48,2,1006,3,WWFWWFWW,3,3,"while a >= 8:
   a /= 2",,1,"[10, 5]",1,while,0,2,1,a
5,"a,i",1=a;2=i,49,2,1006,3,WWFWWFWW,4,4,"for i in [1, 2, 3]:
   a = round_up(a*1.5)",,1,"[8, 12, 18]",1,for,1,3,1,a
5,"a,i",1=a;2=i,50,2,1006,3,WWFWWFWW,5,5,"while a >= 4:
   a = average(a,2)",,1,"[10, 6, 4, 3]",1,while,1,4,1,a
5,"a,i",1=a;2=i,51,2,1006,3,WWFWWFWW,6,6,"while a <= 5:
   a += 7
   a /= 2",,1,"[10, 5, 12, 6]",1,while,0,2,2,a
5,"a,i",1=a;2=i,52,2,1006,3,WWFWWFWW,7,7,"for i in [1, 2, 3, 4]:
   a += 3",,1,"[9, 12, 15, 18]",1,for,1,4,1,a
5,"a,i",1=a;2=i,53,2,1006,3,WWFWWFWW,8,8,"while a >= 12:
   a /= 3
   a *= 2",,1,"[6, 12, 4, 8]",1,while,1,2,2,a
5,"a,i",1=a;2=i,54,2,1006,3,WWFWWFWW,9,9,"while a >= 3:
   a *= 2
   a -= 9",,1,"[16, 7, 14, 5, 10, 1]",1,while,0,3,2,a
6,"a,i",1=a;2=i,28,2,4,2,FWWWWFFW,1,1,a = 18,,0,,0,,,1,0,a
6,"a,i",1=a;2=i,29,2,4,2,FWWWWFFW,2,2,"for i in [1, 2]:
   a /= 3
   a *= 2",,1,"[6, 12, 4, 8]",1,for,,2,2,a
6,"a,i",1=a;2=i,30,2,4,2,FWWWWFFW,3,3,"while a >= 2:
   a /= 2",,1,"[4, 2, 1]",1,while,1,3,1,a
