trial_order,variables,var_mapping,uid,trial_set,trial,core_program,variant,step,step_id,text1,text2,response_needed,expected_response,is_loop,loop_type,loop_type_switch,n_iterations,n_loop_lines,updated_var
5,"a,i",1=a;2=i,11,1,2,1,FWWWWFFW,2,2,"for i in [1, 2]:
   a *= 2
   a -= 4",,1,"[14, 10, 20, 16]",1,for,,2,2,a
5,"a,i",1=a;2=i,12,1,2,1,FWWWWFFW,3,3,"while a >= 3:
   a /= 4
   a *= 2",,1,"[4, 8, 2, 4, 1, 2]",1,while,1,3,2,a
5,"a,i",1=a;2=i,13,1,2,1,FWWWWFFW,4,4,"while a <= 6:
   a = round_up(a*2.5)",,1,"[5, 13]",1,while,0,2,1,a
5,"a,i",1=a;2=i,14,1,2,1,FWWWWFFW,5,5,"while a >= 7:
   a = average(a,5)",,1,"[9, 7, 6]",1,while,0,3,1,a
5,"a,i",1=a;2=i,15,1,2,1,FWWWWFFW,6,6,"while a >= 4:
   a += 2
   a /= 2",,1,"[8, 4, 6, 3]",1,while,0,2,2,a
5,"a,i",1=a;2=i,16,1,2,1,FWWWWFFW,7,7,"for i in [1, 2]:
   a *= 2",,1,"[6, 12]",1,for,1,2,1,a
5,"a,i",1=a;2=i,17,1,2,1,FWWWWFFW,8,8,"for i in [1, 2]:
   a += 6
   a -= 4",,1,"[18, 14, 20, 16]",1,for,0,2,2,a
5,"a,i",1=a;2=i,18,1,2,1,FWWWWFFW,9,9,"while a >= 6:
   a -= 3",,1,"[13, 10, 7, 4]",1,while,1,4,1,a
6,"a,i",1=a;2=i,37,1,5,3,WFFFWWWF,1,1,a = 8,,0,,0,,,1,0,a
6,"a,i",1=a;2=i,38,1,5,3,WFFFWWWF,2,2,"while a <= 17:
   a -= 2
   a += 6",,1,"[6, 12, 10, 16, 14, 20]",1,while,,3,2,a
6,"a,i",1=a;2=i,39,1,5,3,WFFFWWWF,3,3,"for i in [1, 2]:
   a /= 2",,1,"[10, 5]",1,for,1,2,1,a
6,"a,i",1=a;2=i,40,1,5,3,WFFFWWWF,4,4,"for i in [1, 2, 3]:
   a = round_up(a*1.5)",,1,"[8, 12, 18]",1,for,0,3,1,a
6,"a,i",1=a;2=i,41,1,5,3,WFFFWWWF,5,5,"for i in [1, 2, 3, 4]:
   a = average(a,2)",,1,"[10, 6, 4, 3]",1,for,0,4,1,a
